,name,price,size,reviews,rating,comment
0,Game of Thrones Cabernet (750 ML),$59.99,750 ml,0,0,
1,Zerran Tinto (750 ML),$17.99,750 ml,0,0,
2,Corte Orsini Toscana Rosso IGT (750 ML),$33.98,750 ml,0,0,
3,Tributus Napa Valley Cabernet Sauvignon (750 ML),$44.98,750 ml,6,3.7,TOOTHPASTE
4,Splendid Oak Cabernet Sauvignon (750 ML),$21.98,750 ml,1,4,GREAT WINE FOR THE PRICE!
6,Serabel Cotes du Rhone (750 ML),$18.98,750 ml,5,4,NOT GOOD
7,Vineyard View Cabernet Sauvignon (750 ML),$44.98,750 ml,5,4.2,GREAT TASTING CABERNET!
8,Dark Hundred Red Wine (750 ML),$23.98,750 ml,1,4,ENJOYABLE
9,Settecieli Sangiovese (750 ML),$17.98,750 ml,5,4.6,VERY GOOD
10,Cabpothesis Cabernet Sauvignon (750 ML),$19.98,750 ml,3,3.7,- GREAT WINE FOR THE MONEY
11,Viva La Fruta Sangria (750 ML),$17.98,750 ml,7,4,MEH
12,Bixby Bridge Cab (750 ML),$29.98,750 ml,4,4.8,EASY DRINKING
13,Redwick Red Blend (750 ML),$17.98,750 ml,8,4.1,CENTRAL COAST WINES ARE GREAT
14,Bixby Creek Bridge Napa Valley Red Blend (750 ML),$22.98,750 ml,6,3.7,GREAT PRODUCT FOR THE PRICE.
15,Samuel Charles North Coast Cabernet Sauvignon (750 ML),$24.98,750 ml,2,5,ADD STEAK = DELICIOUS
16,Moral Compass Columbia Valley Cabernet Sauvignon (750 ML),$22.98,750 ml,1,5,PRETTY DARN GOOD BLEND
17,Goldenrod Flower Pinot Noir (750 ML),$48.99,750 ml,0,0,
18,Townhouse Pinot Noir (750 ML),$23.98,750 ml,0,0,
19,Crooked Path Paso Robles Zinfandel (750 ML),$29.98,750 ml,8,3.8,NOT TERRIBLE BUT NOT WORTH $30
20,Gen 5 Lodi Old Vine Zinfandel (750 ML),$19.98,750 ml,12,2.9,GO-TO ZIN
